339087,Candu Énergie,Candu Energy Inc.,2016-01-06,"['Energy', 'Industry', 'International Trade', 'Climate']","['Energy', 'Industry', 'International Trade', 'Climate']","['Natural Resources Canada (NRCan)', 'Canadian Nuclear Safety Commission (CNSC)']"
61,null,GREENPEACE CANADA,2015-11-23,['Climate'],['Climate'],['Environment and Climate Change Canada']
61,null,GREENPEACE CANADA,2015-11-23,['Climate'],['Climate'],['Global Affairs Canada']
61,null,GREENPEACE CANADA,2015-12-01,['Climate'],['Climate'],['Environment and Climate Change Canada']
61,null,GREENPEACE CANADA,2015-12-02,['Climate'],['Climate'],['Environment and Climate Change Canada']
61,null,GREENPEACE CANADA,2015-12-04,['Climate'],['Climate'],['Environment and Climate Change Canada']
61,null,GREENPEACE CANADA,2015-12-08,['Climate'],['Climate'],['Environment and Climate Change Canada']
354666,null,Tsleil-Waututh Nation,2016-01-11,['Environment'],['Environment'],['Environment and Climate Change Canada']
354667,null,Tsleil-Waututh Nation,2016-01-11,['Environment'],['Environment'],['Environment and Climate Change Canada']
4995,null,SNC-Lavalin Inc.,2016-01-06,"['Energy', 'Climate', 'Environment']","['Energy', 'Climate', 'Environment']",['Natural Resources Canada (NRCan)']
4995,null,SNC-Lavalin Inc.,2016-01-08,"['Energy', 'International Relations', 'Climate']","['Energy', 'International Relations', 'Climate']",['Natural Resources Canada (NRCan)']
82,null,CANADIAN FOODGRAINS BANK,2016-01-20,"['International Development', 'Climate']","['International Development', 'Climate']",['Global Affairs Canada']
13022,null,Environmental Defence Canada,2015-11-23,['Environment'],['Environment'],"['Environment and Climate Change Canada', 'Environment and Climate Change Canada', 'Environment and Climate Change Canada']"
13022,null,Environmental Defence Canada,2015-11-23,['Environment'],['Environment'],"['Environment and Climate Change Canada', 'Environment and Climate Change Canada']"
13022,null,Environmental Defence Canada,2015-11-23,['Environment'],['Environment'],"['House of Commons', 'Environment and Climate Change Canada']"
13022,null,Environmental Defence Canada,2015-11-25,['Environment'],['Environment'],['Environment and Climate Change Canada']
13022,null,Environmental Defence Canada,2015-12-01,['Environment'],['Environment'],"['Environment and Climate Change Canada', 'Environment and Climate Change Canada', 'Environment and Climate Change Canada', 'Environment and Climate Change Canada']"
13022,null,Environmental Defence Canada,2015-12-01,['Environment'],['Environment'],"['Environment and Climate Change Canada', 'House of Commons']"
13022,null,Environmental Defence Canada,2015-12-07,['Environment'],['Environment'],"['Environment and Climate Change Canada', 'Environment and Climate Change Canada', 'Environment and Climate Change Canada', 'Environment and Climate Change Canada']"
13022,null,Environmental Defence Canada,2015-12-09,['Environment'],['Environment'],['Environment and Climate Change Canada']
13022,null,Environmental Defence Canada,2015-12-11,['Environment'],['Environment'],"['Environment and Climate Change Canada', 'Environment and Climate Change Canada', 'Environment and Climate Change Canada', 'Environment and Climate Change Canada', 'Environment and Climate Change Canada']"
12935,null,ENCANA CORPORATION,2015-12-01,"['Energy', 'Environment']","['Energy', 'Environment']","['Environment and Climate Change Canada', 'Environment and Climate Change Canada']"
12699,L'association minière du Canada (AMC),The Mining Association of Canada (MAC),2016-01-21,"['Environment', 'Mining']","['Environment', 'Mining']",['Environment and Climate Change Canada']
4978,null,GENERAL ELECTRIC CANADA,2016-01-28,['Environment'],['Environment'],['Environment and Climate Change Canada']
5005,null,Ontario Power Generation Inc.,2016-01-05,"['Energy', 'Environment']","['Energy', 'Environment']","['Environment and Climate Change Canada', 'Global Affairs Canada']"
354186,null,Pacific Northwest LNG,2016-02-01,['Environment'],['Environment'],"['Environment and Climate Change Canada', 'Environment and Climate Change Canada']"
5776,null,Bruce Power,2016-01-20,"['Energy', 'Environment']","['Energy', 'Environment']",['Environment and Climate Change Canada']
13913,Association Canadienne du Ciment,CEMENT ASSOCIATION OF CANADA,2016-01-18,"['Energy', 'Environment', 'Government Procurement', 'Climate']","['Energy', 'Environment', 'Government Procurement', 'Climate']",['Environment and Climate Change Canada']
514,Conseil canadien des chefs d'entreprise,Canadian Council of Chief Executives,2016-01-21,"['Energy', 'Environment', 'Industry', 'Infrastructure', 'International Relations', 'International Trade', 'Climate']","['Energy', 'Environment', 'Industry', 'Infrastructure', 'International Relations', 'International Trade', 'Climate']",['Natural Resources Canada (NRCan)']
344606,null,BC LNG Developers Alliance,2016-02-02,"['Energy', 'Employment and Training']","['Energy', 'Employment and Training']","['Environment and Climate Change Canada', 'Employment and Social Development Canada (ESDC)', 'Natural Resources Canada (NRCan)', 'Indigenous and Northern Affairs Canada', 'Finance Canada (FIN)', 'Natural Resources Canada (NRCan)', 'Finance Canada (FIN)']"
5215,Suncor Énergie Inc.,Suncor Energy Inc.,2016-01-29,"['Aboriginal Affairs', 'Environment', 'Industry', 'Climate']","['Aboriginal Affairs', 'Environment', 'Industry', 'Climate']",['Veterans Affairs Canada (VAC)']
